AÃ±o,Trimestre,Provincia,Mbps (Media de bajada)
2019,4,Formosa,1453
2019,4,Jujuy,1296
2019,4,La Pampa,6530
2019,4,La Rioja,8000
2019,4,Mendoza,7790
2019,4,Misiones,2032
2019,4,NeuquÃ©n,2602
2019,4,RÃ­o Negro,1718
2019,4,Salta,1908
2019,4,San Juan,6040
2019,4,San Luis,2069
2019,4,Santa Cruz,5210
2019,4,Santa Fe,2055
2019,4,Santiago Del Estero,9790
2019,4,Tierra Del Fuego,7270
2019,4,TucumÃ¡n,2987
2019,3,Buenos Aires,2568
2019,3,Capital Federal,3871
2019,3,Catamarca,9290
2019,3,Chaco,1999
2019,3,Chubut,6970
2019,3,CÃ³rdoba,2319
2019,3,Corrientes,167
2019,3,Entre RÃ­os,147
2019,3,Formosa,1322
2019,3,Jujuy,1197
2019,3,La Pampa,5720
2019,3,La Rioja,8000
2019,3,Mendoza,6110
2019,3,Misiones,1793
2019,3,NeuquÃ©n,2375
2019,3,RÃ­o Negro,1598
2019,3,Salta,1475
2019,3,San Juan,6040
2019,3,San Luis,1974
2019,3,Santa Cruz,5020
2019,3,Santa Fe,1817
2019,3,Santiago Del Estero,9390
2019,3,Tierra Del Fuego,6690
2019,3,TucumÃ¡n,1932
2019,2,Buenos Aires,2248
2019,2,Capital Federal,3035
2019,2,Catamarca,8810
2019,2,Chaco,1601
2019,2,Chubut,6050
2019,2,CÃ³rdoba,1843
2019,2,Corrientes,1383
2019,2,Entre RÃ­os,1219
2019,2,Formosa,1084
2019,2,Jujuy,1207
2019,2,La Pampa,5490
2019,2,La Rioja,7890
2019,2,Mendoza,6030
2019,2,Misiones,145
2019,2,NeuquÃ©n,1724
2019,2,RÃ­o Negro,1163
2019,2,Salta,1255
2019,2,San Juan,6120
2019,2,San Luis,1988
2019,2,Santa Cruz,6010
2019,2,Santa Fe,1507
2019,2,Santiago Del Estero,7100
2019,2,Tierra Del Fuego,6340
2019,2,TucumÃ¡n,1853
2019,1,Buenos Aires,1964
2019,1,Capital Federal,2472
2019,1,Catamarca,7960
2019,1,Chaco,1344
2019,1,Chubut,5890
2019,1,CÃ³rdoba,1573
2019,1,Corrientes,1205
2019,1,Entre RÃ­os,1066
2019,1,Formosa,9830
2019,1,Jujuy,8560
2019,1,La Pampa,5060
2019,1,La Rioja,7090
2019,1,Mendoza,5740
2019,1,Misiones,1251
2019,1,NeuquÃ©n,1588
2019,1,RÃ­o Negro,1049
2019,1,Salta,1038
2019,1,San Juan,5840
2019,1,San Luis,8710
2019,1,Santa Cruz,5780
2019,1,Santa Fe,1299
2019,1,Santiago Del Estero,6420
2019,1,Tierra Del Fuego,6340
2019,1,TucumÃ¡n,1657
2018,4,Buenos Aires,1693
2018,4,Capital Federal,2294
2018,4,Catamarca,8040
2018,4,Chaco,1349
2018,4,Chubut,6090
2018,4,CÃ³rdoba,1581
2018,4,Corrientes,1214
2018,4,Entre RÃ­os,1102
2018,4,Formosa,9820
2018,4,Jujuy,8560
2018,4,La Pampa,4320
2018,4,La Rioja,7090
2018,4,Mendoza,5750
2018,4,Misiones,125
2018,4,NeuquÃ©n,1589
2018,4,RÃ­o Negro,1049
2018,4,Salta,1046
2018,4,San Juan,5720
2018,4,San Luis,8820
2018,4,Santa Cruz,5120
2018,4,Santa Fe,1318
2018,4,Santiago Del Estero,6310
2018,4,Tierra Del Fuego,7440
2018,4,TucumÃ¡n,1658
